Player,Jersey_Num,Class,Position,Height,Weight,Hometown,High_School,Summary,Team,Year
Langston Morris-Walker,13,SR,G,6-5,216,Berkeley CA,Berkeley HS,5.2 Pts 2.4 Reb 0.9 Ast,Oregon St. ,2016
Derrick Bruce,4,FR,G,6-3,175,Moreno Valley CA,Colony HS,4.4 Pts 1.0 Reb 1.4 Ast,Oregon St. ,2016
Jarmal Reid,32,SR,F,6-7,231,Decatur GA,Columbia HS,4.1 Pts 2.1 Reb 0.5 Ast,Oregon St. ,2016
Gligorije Rakocevic,23,FR,C,6-11,255,Bijelo Polje Montenegro,Cantwell-Sacred Heart of Mary HS,1.5 Pts 1.3 Reb 0.1 Ast,Oregon St. ,2016
Cheikh N'diaye,5,JR,C,7-0,230,Dakar Senegal,Army-Navy Academy,1.1 Pts 0.9 Reb 0.0 Ast,Oregon St. ,2016
Daniel Gomis,14,SR,F,6-10,223,Theis Senegal,Oak Hill Academy,1.3 Pts 0.6 Reb 0.0 Ast,Oregon St. ,2016
Matt Dahlen,31,SO,F,6-6,200,Redmond OR,Redmond,0.1 Pts 0.1 Reb 0.1 Ast,Oregon St. ,2016
Justin Stangel,40,SR,C,6-10,220,Milwaukie OR,La Salle Catholic Prep,0.0 Pts 0.0 Reb 0.0 Ast,Oregon St. ,2016
Noah Togiai,10,FR,G,6-4,214,West Valley City UT,Hunter HS,0.0 Pts 0.5 Reb 0.0 Ast,Oregon St. ,2016
Michael Young,2,JR,F,6-9,235,Duquesne PA,St. Benedict's (NJ),15.7 Pts 6.9 Reb 2.3 Ast,Pittsburgh,2016
Jamel Artis,1,JR,F,6-7,220,Baltimore MD,Notre Dame Prep (MA),14.4 Pts 4.8 Reb 3.0 Ast,Pittsburgh,2016
James Robinson,0,SR,G,6-3,200,Mitchellville MD,DeMatha Catholic HS,10.2 Pts 3.2 Reb 5.0 Ast,Pittsburgh,2016
Sheldon Jeter,21,JR,F,6-7,215,Beaver Falls PA,Beaver Falls,8.1 Pts 4.8 Reb 0.7 Ast,Pittsburgh,2016
Chris Jones,12,JR,G,6-6,213,Teaneck NJ,Teaneck HS,6.1 Pts 2.1 Reb 1.5 Ast,Pittsburgh,2016
Ryan Luther,4,SO,F,6-9,225,Gibsonia PA,Hampton HS,5.0 Pts 2.9 Reb 0.4 Ast,Pittsburgh,2016
Cameron Johnson,23,FR,G,6-9,210,Moon Township PA,Our Lady of the Sacred Heart HS,4.8 Pts 1.8 Reb 0.5 Ast,Pittsburgh,2016
Sterling Smith,15,SR,G,6-4,185,Chico CA,Redemption Christian Academy,4.5 Pts 3.0 Reb 1.1 Ast,Pittsburgh,2016
Damon Wilson,3,FR,G,6-5,190,Atlanta GA,Our Savior New American HS,3.3 Pts 1.1 Reb 1.4 Ast,Pittsburgh,2016
Rafael Maia,5,SR,C,6-9,245,Duquesne PA,Maine Central Institute,2.0 Pts 3.6 Reb 0.5 Ast,Pittsburgh,2016
Alonzo Nelson-Ododa,33,SR,F,6-9,210,Atlanta GA,Norcross,1.3 Pts 1.5 Reb 0.1 Ast,Pittsburgh,2016
Jonathan Milligan,55,JR,G,6-2,170,Orlando FL,Mount Zion Academy (NC),3.3 Pts 0.3 Reb 0.8 Ast,Pittsburgh,2016
Ryan Seelye,50,FR,F,6-6,225,Saint Marys PA,Elk County Catholic HS,0.5 Pts 0.1 Reb 0.0 Ast,Pittsburgh,2016
Mike Lecak,24,SR,G,6-2,175,Pittsburgh PA,North Canyon (AZ),0.2 Pts 0.0 Reb 0.1 Ast,Pittsburgh,2016
Ben Bentil,0,SO,F,6-8,230,Wilmington DE,St. Andrew's,21.1 Pts 7.7 Reb 1.1 Ast,Providence ,2016
Kris Dunn,3,JR,G,6-3,205,New London CT,New London HS,16.4 Pts 5.3 Reb 6.2 Ast,Providence ,2016
Rodney Bullock,5,SO,F,6-7,220,Hampton VA,Kecoughtan HS,11.4 Pts 6.8 Reb 1.0 Ast,Providence ,2016
Jalen Lindsey,21,SO,G,6-7,195,Murfreesboro TN,Huntington Prep HS,7.0 Pts 4.4 Reb 0.7 Ast,Providence ,2016
Kyron Cartwright,24,SO,G,5-11,185,Compton CA,Compton HS,5.9 Pts 2.2 Reb 4.0 Ast,Providence ,2016
Junior Lomomba,32,JR,G,6-5,200,Montréal Canada,Madison Memorial,5.3 Pts 2.5 Reb 1.9 Ast,Providence ,2016
Ryan Fazekas,35,FR,G,6-8,190,Chesterton IN,Marquette Catholic HS,5.1 Pts 2.4 Reb 0.3 Ast,Providence ,2016
Drew Edwards,25,FR,G,6-4,185,Perry Hall MD,Calvert Hall HS,2.4 Pts 1.6 Reb 0.7 Ast,Providence ,2016
Quadree Smith,10,FR,F,6-8,285,Temple Hills MD,Paul VI / Potomac / IMG Academy,1.7 Pts 1.1 Reb 0.1 Ast,Providence ,2016
Ricky Council,22,FR,G,6-5,210,Durham NC,Moravian Prep HS,1.0 Pts 0.4 Reb 0.1 Ast,Providence ,2016
Tom Planek,34,SO,F,6-6,195,Oak Park IL,Fenwick HS,0.4 Pts 0.1 Reb 0.1 Ast,Providence ,2016
Tyree Chambers,14,SO,G,6-2,182,Bayreuth Germany,Graf-Munster,0.2 Pts 0.3 Reb 0.4 Ast,Providence ,2016
Casey Woodring,12,JR,G,6-2,180,Darien CT,Cushing Academy,0.0 Pts 0.5 Reb 0.0 Ast,Providence ,2016
A.J. Hammons,20,SR,C,7-0,261,Gary IN,Oak Hill Academy,15.0 Pts 8.2 Reb 1.1 Ast,Purdue ,2016
Vince Edwards,12,SO,F,6-7,220,Middletown OH,Middletown HS,11.3 Pts 5.4 Reb 2.9 Ast,Purdue ,2016
Caleb Swanigan,50,FR,F,6-9,260,Fort Wayne IN,Homestead HS,10.2 Pts 8.3 Reb 1.8 Ast,Purdue ,2016
Isaac Haas,44,SO,C,7-2,297,Hokes Bluff AL,Hokes Bluff HS,9.8 Pts 3.7 Reb 0.5 Ast,Purdue ,2016
Rapheal Davis,35,SR,G,6-5,217,Fort Wayne IN,La Lumiere HS,8.3 Pts 3.9 Reb 2.3 Ast,Purdue ,2016
P.J. Thompson,3,SO,G,5-10,188,Indianapolis IN,Brebeuf Prep,5.7 Pts 2.1 Reb 2.7 Ast,Purdue ,2016
Dakota Mathias,31,SO,G,6-4,197,Elida OH,Elida HS,5.5 Pts 2.2 Reb 2.3 Ast,Purdue ,2016
Johnny Hill,1,SR,G,6-3,180,Glendale Heights IL,Glenbard East,5.1 Pts 2.6 Reb 2.3 Ast,Purdue ,2016
Kendall Stephens,21,JR,G,6-6,197,Saint Charles IL,St. Charles East HS,6.1 Pts 1.3 Reb 0.9 Ast,Purdue ,2016
Ryan Cline,14,FR,G,6-6,195,Carmel IN,Carmel HS,3.9 Pts 1.2 Reb 1.3 Ast,Purdue ,2016
Jacquil Taylor,23,SO,F,6-10,235,Cambridge MA,Beaver Country Day,1.8 Pts 1.5 Reb 0.2 Ast,Purdue ,2016
Stephen Toyra,11,SR,G,6-3,177,Lafayette IN,Faith Christian HS,0.7 Pts 0.4 Reb 0.4 Ast,Purdue ,2016
Grady Eifert,24,FR,F,6-6,220,Fort Wayne IN,Bishop Dwenger HS,0.6 Pts 0.7 Reb 0.0 Ast,Purdue ,2016
Isaiah Miles,15,SR,F,6-7,225,Baltimore MD,Milford Mill HS,18.1 Pts 8.1 Reb 0.9 Ast,Saint Joseph's ,2016
DeAndre Bembry,43,JR,F,6-6,210,Charlotte NC,The Patrick School (NJ),17.4 Pts 7.8 Reb 4.5 Ast,Saint Joseph's ,2016
Aaron Brown,2,SR,F,6-5,225,Darby PA,Penn Wood,10.4 Pts 3.2 Reb 1.3 Ast,Saint Joseph's ,2016
James Demery,25,SO,F,6-6,186,Williamston NC,Northside Christian Academy,8.1 Pts 3.6 Reb 0.5 Ast,Saint Joseph's ,2016
Shavar Newkirk,1,SO,G,6-0,170,New York NY,Cardinal Hayes HS,8.0 Pts 2.4 Reb 2.6 Ast,Saint Joseph's ,2016
Lamarr Kimble,0,FR,G,6-0,185,Philadelphia PA,Neumann-Goretti HS,6.0 Pts 1.5 Reb 2.5 Ast,Saint Joseph's ,2016
Papa Ndao,12,SR,F,6-8,220,Dakar Senegal,Montverde Academy (FL),4.9 Pts 3.2 Reb 1.0 Ast,Saint Joseph's ,2016
Pierfrancesco Oliva,24,FR,F,6-8,216,Taranto Italy,Bergen Catholic HS,4.0 Pts 3.7 Reb 1.7 Ast,Saint Joseph's ,2016
Javon Baumann,34,JR,F,6-8,260,Solms-oberbiel Germany,Theodor-Henss School,0.6 Pts 1.0 Reb 0.1 Ast,Saint Joseph's ,2016
Chris Clover,11,FR,G,6-3,217,Philadelphia PA,St. Joseph's Prep HS,0.5 Pts 0.2 Reb 0.0 Ast,Saint Joseph's ,2016
Markell Lodge,23,FR,F,6-7,217,Washington NC,Pace Academy,0.8 Pts 0.9 Reb 0.0 Ast,Saint Joseph's ,2016
Brendan Casper,20,JR,F,6-6,215,Audubon PA,Methacton HS,0.7 Pts 0.5 Reb 0.1 Ast,Saint Joseph's ,2016
Jai Williams,32,SO,F,6-9,262,Philadelphia PA,Philadelphia Electrical & Technical Charter,1.0 Pts 1.0 Reb 0.0 Ast,Saint Joseph's ,2016
Mike Booth,3,SO,G,6-3,193,Thornton PA,Bishop Shanahan HS,0.3 Pts 0.1 Reb 0.0 Ast,Saint Joseph's ,2016
Kyle Thompson,21,SO,G,6-2,191,Mount Laurel NJ,St. Joseph's Prep,0.1 Pts 0.7 Reb 0.1 Ast,Saint Joseph's ,2016
Christian Vega,13,SO,G,6-0,170,Guaynabo Puerto Rico,Colegio San Jose (PR),0.0 Pts 0.5 Reb 0.0 Ast,Saint Joseph's ,2016
Isaiah Whitehead,15,SO,G,6-4,210,Brooklyn NY,Abraham Lincoln HS,18.2 Pts 3.6 Reb 5.1 Ast,Seton Hall ,2016
Khadeen Carrington,0,SO,G,6-3,180,Brooklyn NY,Bishop Loughlin HS,14.1 Pts 3.1 Reb 2.5 Ast,Seton Hall ,2016
Desi Rodriguez,20,SO,F,6-6,215,Bronx NY,Abraham Lincoln HS,12.4 Pts 5.0 Reb 1.4 Ast,Seton Hall ,2016
Angel Delgado,31,SO,C,6-9,230,Bajos De Haina Dominican Republic,Patrick School (NJ),9.9 Pts 9.3 Reb 1.0 Ast,Seton Hall ,2016
Derrick Gordon,32,SR,G,6-3,205,Plainfield NJ,St. Patrick,8.0 Pts 3.3 Reb 1.6 Ast,Seton Hall ,2016
Ismael Sanogo,14,SO,F,6-7,190,Newark NJ,East Side HS,5.0 Pts 7.2 Reb 1.3 Ast,Seton Hall ,2016
Michael Nzei,1,FR,F,6-8,205,Makurdi Nigeria,Our Savior New American HS,3.5 Pts 3.0 Reb 0.2 Ast,Seton Hall ,2016
Veer Singh,33,FR,F,6-7,185,New York NY,Thurgood Marshall HS,2.2 Pts 1.2 Reb 0.1 Ast,Seton Hall ,2016
Braeden Anderson,4,JR,F,6-9,235,Okotoks Canada,Wilbraham & Monson Academy,0.7 Pts 1.4 Reb 0.1 Ast,Seton Hall ,2016
Rashed Anthony,25,SO,C,6-9,235,Orangeburg SC,Flora Macdonald Academy,0.5 Pts 0.7 Reb 0.2 Ast,Seton Hall ,2016
Dalton Soffer,21,FR,G,6-5,190,San Diego CA,Poway HS,0.9 Pts 0.2 Reb 0.1 Ast,Seton Hall ,2016
Myles Carter,23,FR,F,6-9,230,Chicago IL,St. Rita's HS,0.6 Pts 0.7 Reb 0.1 Ast,Seton Hall ,2016
Michael Dowdy,13,JR,G,5-10,185,Chicago IL,University of Chicago Laboratory,0.3 Pts 0.4 Reb 0.0 Ast,Seton Hall ,2016
Mike Daum,24,FR,F,6-9,235,Kimball NE,Kimball HS,15.2 Pts 6.1 Reb 0.8 Ast,South Dakota St. ,2016
Deondre Parks,0,SR,G,6-4,190,Flint MI,Iowa Lakes,14.9 Pts 4.6 Reb 1.5 Ast,South Dakota St. ,2016
George Marshall,11,SR,G,6-1,190,Chicago IL,Chicago Brooks College Prep,14.9 Pts 3.4 Reb 2.8 Ast,South Dakota St. ,2016
Reed Tellinghuisen,23,SO,G,6-6,175,Sac City IA,East Sac County HS,9.0 Pts 4.8 Reb 1.2 Ast,South Dakota St. ,2016
Jake Bittle,4,SR,G,6-4,215,Bixby OK,Bixby HS,8.5 Pts 4.6 Reb 2.1 Ast,South Dakota St. ,2016
Ian Theisen,42,SO,F,6-9,250,Osseo MN,Osseo HS,6.1 Pts 3.4 Reb 0.5 Ast,South Dakota St. ,2016
Keaton Moffitt,12,SR,G,6-5,190,Sioux Falls SD,O'Gorman,5.6 Pts 4.4 Reb 2.0 Ast,South Dakota St. ,2016
Tevin King,2,FR,G,6-2,205,Chicago IL,St. John's Northwestern Military Academy,3.7 Pts 1.8 Reb 0.8 Ast,South Dakota St. ,2016
Connor Devine,30,JR,F,6-10,220,Wasilla AK,Wasilla HS,2.6 Pts 1.6 Reb 0.3 Ast,South Dakota St. ,2016
Lane Severyn,25,SO,G,6-5,205,Pierre SD,T.F. Riggs HS,1.8 Pts 1.9 Reb 0.5 Ast,South Dakota St. ,2016
Logan Doyle,33,SO,F,6-8,220,Alexandria MN,Jefferson Senior HS,0.8 Pts 1.2 Reb 0.0 Ast,South Dakota St. ,2016
Cory Jacobsen,13,SR,G,6-1,190,Viborg SD,Viborg HS,0.2 Pts 0.1 Reb 0.1 Ast,South Dakota St. ,2016
Beau Brown,5,FR,G,6-1,175,Mitchell SD,Mitchell HS,0.0 Pts 0.0 Reb 0.0 Ast,South Dakota St. ,2016
Skyler Flatten,1,SO,G,6-6,210,Clark SD,Clark HS,0.0 Pts 0.0 Reb 0.0 Ast,South Dakota St. ,2016
Adrian Rodgers,2,SR,G,6-4,205,Atlanta GA,Centennial,16.6 Pts 5.4 Reb 1.3 Ast,Southern ,2016
Trelun Banks,3,JR,G,6-1,170,Shreveport LA,Scotlandville Magnet HS,12.4 Pts 2.8 Reb 2.2 Ast,Southern ,2016
Shawn Prudhomme,10,JR,F,6-4,215,Beaumont TX,Hardin-Jefferson HS,9.7 Pts 3.4 Reb 0.5 Ast,Southern ,2016
Christopher Hyder,0,SR,G,5-11,170,Dallas TX,South Oak Cliff HS,9.5 Pts 3.6 Reb 5.0 Ast,Southern ,2016
Jared Sam,12,SO,F,6-9,210,Baton Rouge LA,Scotlandville Magnet HS,9.5 Pts 6.4 Reb 0.9 Ast,Southern ,2016
Chris Thomas,4,SO,G,6-4,190,Baton Rouge LA,Glen Oaks HS,4.6 Pts 3.6 Reb 0.4 Ast,Southern ,2016
Tony Nunn,50,JR,F,6-9,220,Salisbury NC,Salisbury HS,3.6 Pts 2.9 Reb 0.1 Ast,Southern ,2016
Rashad Andrews,11,SO,G,6-5,190,Brooklyn NY,Boys and Girls HS,3.9 Pts 1.7 Reb 0.4 Ast,Southern ,2016
D'Adrian Allen,32,JR,F,6-8,225,Toronto Canada,,3.6 Pts 2.7 Reb 0.1 Ast,Southern ,2016
LaQuentin Collins,23,SO,G,6-3,200,Monroe LA,Wossman HS,1.9 Pts 0.9 Reb 0.5 Ast,Southern ,2016
Thomas Pierre-Louis,20,SR,F,6-9,210,Miami FL,Parkway Academy,0.6 Pts 0.5 Reb 0.0 Ast,Southern ,2016
Grant Ellis,13,JR,G,6-5,200,Newark NJ,Hudson Catholic,5.0 Pts 0.0 Reb 0.0 Ast,Southern ,2016
Patrick Smith,21,JR,F,6-7,195,Farmerville LA,Farmerville High School,0.0 Pts 0.0 Reb 0.0 Ast,Southern ,2016
Jameel Warney,20,SR,F,6-8,255,Plainfield NJ,Roselle Catholic HS,19.8 Pts 10.8 Reb 1.6 Ast,Stony Brook ,2016
Carson Puriefoy,10,SR,G,6-0,175,Wenonah NJ,Bishop Eustace HS,14.9 Pts 3.2 Reb 3.1 Ast,Stony Brook ,2016
Rayshaun McGrew,11,SR,F,6-7,230,Chicago IL,Chicago Vocational,10.6 Pts 6.0 Reb 1.2 Ast,Stony Brook ,2016
Ahmad Walker,5,JR,G,6-4,185,Port Washington NY,Berkshire School,10.2 Pts 6.8 Reb 4.2 Ast,Stony Brook ,2016
Lucas Woodhouse,34,JR,G,6-2,175,Greenlawn NY,Harborfields,6.7 Pts 2.6 Reb 3.6 Ast,Stony Brook ,2016
Bryan Sekunda,22,SO,G,6-6,195,State College PA,State College HS,7.3 Pts 1.6 Reb 1.4 Ast,Stony Brook ,2016
Tyrell Sturdivant,12,SO,F,6-7,225,Chester PA,Chester HS,3.1 Pts 3.6 Reb 0.6 Ast,Stony Brook ,2016
Roland Nyama,24,SO,G,6-6,210,Frankfurt Germany,Holderness School,3.1 Pts 1.5 Reb 0.4 Ast,Stony Brook ,2016
Deshaun Thrower,1,SO,G,6-2,200,Muskegon MI,Muskegon HS,1.9 Pts 0.7 Reb 0.5 Ast,Stony Brook ,2016
Kameron Mitchell,3,JR,G,6-4,175,Jacksonville FL,Mandarin HS,1.1 Pts 0.6 Reb 0.5 Ast,Stony Brook ,2016
Jakub Petras,32,SO,F,6-11,250,Rajec Slovakia,Canarias Basketball Academy,1.0 Pts 1.0 Reb 0.2 Ast,Stony Brook ,2016
Tim Donohoe,4,SO,G,6-3,185,Saratoga Springs NY,Albany Academy,1.0 Pts 0.0 Reb 0.0 Ast,Stony Brook ,2016
Thomas Walkup,0,SR,G,6-4,195,Pasadena TX,Deer Park HS,18.1 Pts 6.9 Reb 4.5 Ast,Stephen F. Austin,2016
Demetrious Floyd,1,SR,G,5-11,170,St. Louis MO,McCluer,13.8 Pts 1.5 Reb 1.5 Ast,Stephen F. Austin,2016
Clide Geffrard,11,SR,F,6-5,220,Pompano Beach FL,Blanche Ely,13.3 Pts 5.9 Reb 1.4 Ast,Stephen F. Austin,2016
Ty Charles,4,SO,G,6-5,190,Kennedale TX,Kennedale HS,9.4 Pts 4.8 Reb 2.3 Ast,Stephen F. Austin,2016
T.J. Holyfield,22,FR,F,6-8,225,Albuquerque NM,Elev8 Sports Institute (FL),7.5 Pts 4.2 Reb 1.1 Ast,Stephen F. Austin,2016
Jared Johnson,3,SR,G,6-0,170,Columbia SC,Ridge View,6.0 Pts 0.9 Reb 1.1 Ast,Stephen F. Austin,2016
Dallas Cameron,12,JR,G,6-3,180,Pompano Beach FL,Blanche Ely HS,3.5 Pts 1.0 Reb 1.6 Ast,Stephen F. Austin,2016
Trey Pinkney,10,SR,G,5-9,160,Katy TX,Seven Lakes HS,2.7 Pts 1.8 Reb 3.7 Ast,Stephen F. Austin,2016
C.J. Williams,2,JR,G,6-2,240,Powder Springs GA,,2.4 Pts 2.7 Reb 1.0 Ast,Stephen F. Austin,2016
Nathan Bain,23,FR,F,6-6,205,Freeport Bahamas,Sunrise Christian Academy (KS),2.5 Pts 2.0 Reb 0.5 Ast,Stephen F. Austin,2016
Jovan Grujic,32,FR,C,7-0,242,Pancevo Serbia,Kent School,1.3 Pts 1.3 Reb 0.3 Ast,Stephen F. Austin,2016
Lasani Johnson,5,FR,G,6-3,180,Dallas TX,,1.7 Pts 0.4 Reb 0.2 Ast,Stephen F. Austin,2016
JaQuan Smith,35,JR,F,6-9,250,Baltimore MD,,1.1 Pts 0.9 Reb 0.1 Ast,Stephen F. Austin,2016
Michael Gbinije,0,SR,F,6-7,200,Richmond VA,Benedictine,17.5 Pts 4.1 Reb 4.3 Ast,Syracuse ,2016
Malachi Richardson,23,FR,G,6-6,195,Trenton NJ,Trenton Catholic (NJ),13.4 Pts 4.3 Reb 2.1 Ast,Syracuse ,2016
Trevor Cooney,10,SR,G,6-4,195,Wilmington DE,Sanford School,12.9 Pts 2.6 Reb 2.2 Ast,Syracuse ,2016
Tyler Lydon,20,FR,F,6-8,205,Elizaville NY,New Hampton School,10.1 Pts 6.3 Reb 1.1 Ast,Syracuse ,2016
Tyler Roberson,21,JR,F,6-8,212,Union NJ,Roselle Catholic HS,8.8 Pts 8.5 Reb 1.4 Ast,Syracuse ,2016
DaJuan Coleman,32,JR,C,6-9,255,Jamesville NY,Jamesville-DeWitt HS,4.9 Pts 4.6 Reb 0.4 Ast,Syracuse ,2016
Frank Howard,1,FR,G,6-5,205,Suitland MD,Paul IV HS,1.6 Pts 1.3 Reb 1.8 Ast,Syracuse ,2016
Kaleb Joseph,14,SO,G,6-3,185,Nashua NH,Cushing Academy,0.9 Pts 0.6 Reb 0.7 Ast,Syracuse ,2016
Chinonso Obokoh,35,JR,C,6-9,215,Enugu Nigeria,Bishop Kearney HS,1.1 Pts 1.6 Reb 0.1 Ast,Syracuse ,2016
Adrian Autry,11,FR,G,6-0,185,Jamesville NY,Jamesville-DeWitt HS,0.5 Pts 0.0 Reb 0.0 Ast,Syracuse ,2016
Ky Feldman,54,FR,G,5-10,155,Agoura Hills CA,Agoura HS,1.0 Pts 0.5 Reb 0.0 Ast,Syracuse ,2016
Doyin Akintobi-Adeyeye,34,JR,F,6-6,235,Uniondale NY,Uniondale HS,0.0 Pts 0.3 Reb 0.0 Ast,Syracuse ,2016
Shaun Belbey,3,FR,G,5-10,165,Brick NJ,Uniondale HS,0.0 Pts 0.0 Reb 0.0 Ast,Syracuse ,2016
Evan Dourdas,25,FR,G,6-0,170,Jamesville NY,Jamesville-DeWitt HS,0.0 Pts 0.0 Reb 0.0 Ast,Syracuse ,2016
Jonathan Radner,33,FR,G,5-10,160,Huntington Woods MI,Berkeley HS,0.0 Pts 0.0 Reb 0.0 Ast,Syracuse ,2016
Mike Sutton,4,SO,G,6-2,195,Norwich NY,Norwich HS,0.0 Pts 0.0 Reb 0.0 Ast,Syracuse ,2016
Quenton DeCosey,25,SR,G,6-5,205,Union NJ,St. Joseph's-Metuchen HS,15.9 Pts 6.0 Reb 2.6 Ast,Temple,2016
Obi Enechionyia,0,SO,F,6-8,220,Springfield VA,St. James (MD),11.0 Pts 3.8 Reb 0.6 Ast,Temple,2016
Jaylen Bond,15,SR,F,6-8,240,Philadelphia PA,Plymouth-Whitemarsh,10.3 Pts 8.5 Reb 1.4 Ast,Temple,2016
Devin Coleman,34,SR,G,6-2,205,Philadelphia PA,Friends' Central,9.2 Pts 3.0 Reb 1.0 Ast,Temple,2016
Josh Brown,1,JR,G,6-3,185,Newark NJ,St. Anthony's HS,8.3 Pts 4.8 Reb 4.9 Ast,Temple,2016
Daniel Dingle,4,JR,G,6-7,235,Bronx NY,St. Raymond's HS,4.4 Pts 2.8 Reb 1.5 Ast,Temple,2016
Trey Lowe,11,FR,G,6-7,165,Ewing NJ,Ewing HS,4.8 Pts 1.6 Reb 0.6 Ast,Temple,2016
Mark Williams,10,JR,F,6-8,240,Cleveland OH,Montrose Christian HS,3.6 Pts 1.7 Reb 0.6 Ast,Temple,2016
Shizz Alston,3,FR,G,6-4,180,Philadelphia PA,The Haverford School,2.0 Pts 0.9 Reb 0.6 Ast,Temple,2016
Ernest Aflakpui,24,FR,C,6-10,240,Accra Ghana,Archbishop Carroll HS,1.8 Pts 2.1 Reb 0.1 Ast,Temple,2016
Devontae Watson,23,SR,F,6-11,215,Ambridge PA,Lincoln Park Center HS,0.4 Pts 0.9 Reb 0.0 Ast,Temple,2016
Mike Robbins,22,JR,G,6-4,185,Wynnewood PA,Lower Merion HS,0.3 Pts 0.0 Reb 0.2 Ast,Temple,2016
Isaiah Taylor,1,JR,G,6-1,170,Hayward CA,The Village School (TX),15.0 Pts 2.8 Reb 5.0 Ast,Texas ,2016
Javan Felix,3,SR,G,5-11,195,New Orleans LA,St. Augustine HS,10.7 Pts 1.8 Reb 2.2 Ast,Texas ,2016
Kerwin Roach,12,FR,G,6-4,180,Houston TX,North Shore HS,7.5 Pts 2.9 Reb 1.2 Ast,Texas ,2016
Eric Davis,10,FR,G,6-2,185,Saginaw MI,Saginaw Arthur Hill HS,7.4 Pts 2.4 Reb 0.6 Ast,Texas ,2016
Connor Lammert,21,SR,F,6-9,240,San Antonio TX,Churchill HS,7.1 Pts 5.3 Reb 0.9 Ast,Texas ,2016
Tevin Mack,0,FR,G,6-6,227,Columbia SC,Dreher HS,5.1 Pts 2.0 Reb 0.3 Ast,Texas ,2016
Cameron Ridley,55,SR,C,6-9,285,Houston TX,Bush HS,11.1 Pts 8.5 Reb 0.5 Ast,Texas ,2016
Prince Ibeh,44,SR,C,6-10,260,Garland TX,Naaman Forest HS,4.1 Pts 5.0 Reb 0.1 Ast,Texas ,2016
Shaquille Cleare,32,JR,C,6-8,290,Andros Bahamas,The Village School,3.6 Pts 2.9 Reb 0.1 Ast,Texas ,2016
Demarcus Holland,2,SR,G,6-2,190,Garland TX,Naaman Forest HS,3.1 Pts 1.8 Reb 0.4 Ast,Texas ,2016
Kendal Yancy,5,JR,G,6-3,200,Richardson TX,Berkner HS,3.0 Pts 1.8 Reb 0.4 Ast,Texas ,2016
Jordan Barnett,33,SO,F,6-6,205,St. Louis MO,Christian Brothers College HS,3.3 Pts 2.0 Reb 0.0 Ast,Texas ,2016
Danny Newsome,4,SO,F,6-9,190,Houston TX,Langham Creek HS,3.0 Pts 0.0 Reb 0.0 Ast,Texas ,2016
Ryan McClurg,30,JR,F,6-5,225,Katy TX,Seven Lakes HS,1.3 Pts 1.3 Reb 0.0 Ast,Texas ,2016
Joe Schwartz,25,SO,G,6-3,180,Waco TX,Vanguard College Prep,0.5 Pts 0.5 Reb 0.0 Ast,Texas ,2016
Danuel House,23,SR,G,6-7,195,Fresno TX,Hightower,15.6 Pts 4.8 Reb 2.1 Ast,Texas A&M,2016
Jalen Jones,12,SR,G,6-8,197,Dallas TX,Kimball HS (TX),15.3 Pts 7.2 Reb 0.6 Ast,Texas A&M,2016
Tyler Davis,34,FR,C,6-10,265,Plano TX,Plano West HS,11.3 Pts 6.2 Reb 0.7 Ast,Texas A&M,2016
Alex Caruso,21,SR,G,6-5,183,College Station TX,A&M Consolidated HS,8.1 Pts 3.6 Reb 5.0 Ast,Texas A&M,2016
Admon Gilder,3,FR,G,6-4,200,Dallas TX,Madison HS,7.0 Pts 2.3 Reb 1.3 Ast,Texas A&M,2016
Tonny Trocha-Morelos,10,SO,C,6-10,221,Cartagena Colombia,Mayor Jose Celestino Mutis,7.0 Pts 4.3 Reb 1.0 Ast,Texas A&M,2016
DJ Hogg,1,FR,F,6-8,216,Plano TX,Plano West HS,6.2 Pts 2.9 Reb 0.9 Ast,Texas A&M,2016
Anthony Collins,11,SR,G,6-1,175,Houston TX,Westbury Christian School,4.5 Pts 1.5 Reb 4.2 Ast,Texas A&M,2016
Tavario Miller,42,JR,F,6-7,226,Long Island Bahamas,Wheatley HS,2.1 Pts 3.7 Reb 0.3 Ast,Texas A&M,2016
Elijah Thomas,15,FR,F,6-9,245,Dallas TX,Lancaster HS,3.8 Pts 2.5 Reb 0.8 Ast,Texas A&M,2016
Kyle Dobbins,25,SR,G,6-0,175,Houston TX,Memorial HS,1.1 Pts 0.2 Reb 0.3 Ast,Texas A&M,2016
Kobie Eubanks,0,FR,G,6-5,218,Fort Lauderdale FL,Elev8 Sports Institute (FL),1.5 Pts 1.3 Reb 0.4 Ast,Texas A&M,2016
Juan Aparicio,13,SR,G,6-4,194,Bogota Colombia,Second Baptist HS,0.4 Pts 0.0 Reb 0.1 Ast,Texas A&M,2016
Frank Byers,22,FR,G,5-10,180,Dallas TX,South Oak Cliff HS,0.5 Pts 0.0 Reb 0.0 Ast,Texas A&M,2016
T.J. Distefano,33,FR,G,6-2,150,College Station TX,St. Joseph HS,0.0 Pts 0.2 Reb 0.0 Ast,Texas A&M,2016
Toddrick Gotcher,20,SR,G,6-4,200,Garland TX,Lakeview Centennial HS,10.9 Pts 3.5 Reb 2.2 Ast,Texas Tech,2016
Devaugntah Williams,0,SR,G,6-3,200,Canton OH,McKinley,10.8 Pts 3.1 Reb 1.6 Ast,Texas Tech,2016
